basin_id,date,precip_mm,temp_c,evapotranspiration_mm
1362100,2006-06-01,0.22,32.56,158.54
1362100,2006-07-01,0.1,33.76,173.52
1362100,2006-08-01,0.29,33.88,158.41
1362100,2006-09-01,0.52,31.52,141.75
1362100,2006-10-01,1.54,26.9,106.28
1362100,2006-11-01,3.5,19.9,66.73
1362100,2006-12-01,5.17,17.01,52.09
1362100,2007-01-01,4.67,13.56,46.67
1362100,2007-02-01,3.06,16.31,52.3
1362100,2007-03-01,2.41,21.09,77.98
1362100,2007-04-01,1.17,24.75,101.94
1362100,2007-05-01,0.92,29.13,142.39
1362100,2007-06-01,0.21,33.32,161.32
1362100,2007-07-01,0.08,33.35,176.62
1362100,2007-08-01,0.27,32.95,154.64
1362100,2007-09-01,0.59,30.7,133.93
1362100,2007-10-01,1.62,26.08,101.6
1362100,2007-11-01,2.47,20.78,70.72
1362100,2007-12-01,4.4,15.28,53.13
1362100,2008-01-01,4.16,14.58,42.58
1362100,2008-02-01,3.41,16.52,49.72
1362100,2008-03-01,1.71,19.99,85.32
1362100,2008-04-01,1.27,24.92,109.3
1362100,2008-05-01,0.89,28.93,133.45
1362100,2008-06-01,0.22,32.67,168.4
1362100,2008-07-01,0.09,34.42,167.83
1362100,2008-08-01,0.29,34.23,165.44
1362100,2008-09-01,0.42,31.76,149.62
1362100,2008-10-01,1.76,26.62,104.38
1362100,2008-11-01,3.19,21.38,69.06
1362100,2008-12-01,3.91,15.95,46.55
1362100,2009-01-01,5.61,14.26,41.05
1362100,2009-02-01,2.94,15.97,53.17
1362100,2009-03-01,2.35,20.6,75.98
1362100,2009-04-01,1.19,24.82,103.52
1362100,2009-05-01,0.82,29.64,147.25
1362100,2009-06-01,0.15,32.51,154.46
1362100,2009-07-01,0.11,33.89,149.36
1362100,2009-08-01,0.3,33.65,161.44
1362100,2009-09-01,0.42,32.33,137.73
1362100,2009-10-01,1.75,26.32,102.97
1362100,2009-11-01,2.61,20.87,68.55
1362100,2009-12-01,6.41,15.23,47.18
1362100,2010-01-01,4.89,14.84,44.07
1362100,2010-02-01,3.41,15.61,52.15
1362100,2010-03-01,3.03,19.22,79.64
1362100,2010-04-01,1.24,23.77,101.91
1362100,2010-05-01,0.94,29.47,129.64
1362100,2010-06-01,0.22,32.56,160.84
1362100,2010-07-01,0.11,33.54,171.52
1362100,2010-08-01,0.25,33.05,152.94
1362100,2010-09-01,0.47,31.55,134.59
1362100,2010-10-01,2.0,26.93,104.25
1362100,2010-11-01,3.63,21.68,71.64
1362100,2010-12-01,4.74,15.31,48.98
1362100,2011-01-01,4.97,14.65,44.62
1362100,2011-02-01,3.21,16.9,50.62
1362100,2011-03-01,2.22,19.08,77.97
1362100,2011-04-01,1.38,24.05,101.5
1362100,2011-05-01,0.8,29.86,140.64
1362100,2011-06-01,0.21,32.72,161.81
1362100,2011-07-01,0.12,33.28,171.01
1362100,2011-08-01,0.3,33.47,140.46
1362100,2011-09-01,0.4,32.38,135.18
1362100,2011-10-01,1.51,26.6,103.98
1362100,2011-11-01,3.26,21.89,69.89
1362100,2011-12-01,5.01,15.66,53.8
1362100,2012-01-01,5.35,14.02,47.03
1362100,2012-02-01,3.66,16.24,47.74
1362100,2012-03-01,3.04,19.92,82.56
1362100,2012-04-01,1.1,24.76,105.58
1362100,2012-05-01,0.93,29.53,129.33
1362100,2012-06-01,0.21,33.67,158.52
1362100,2012-07-01,0.1,33.53,153.43
1362100,2012-08-01,0.27,33.6,160.83
1362100,2012-09-01,0.51,32.36,140.41
1362100,2012-10-01,2.09,26.84,115.82
1362100,2012-11-01,2.3,20.86,75.54
1362100,2012-12-01,4.77,16.73,50.96
1362100,2013-01-01,5.94,14.9,46.52
1362100,2013-02-01,3.79,16.68,54.58
1362100,2013-03-01,2.41,19.5,75.43
1362100,2013-04-01,1.34,23.77,98.14
1362100,2013-05-01,0.68,29.37,119.84
1362100,2013-06-01,0.24,33.19,173.68
1362100,2013-07-01,0.12,34.71,183.57
1362100,2013-08-01,0.27,33.04,158.14
1362100,2013-09-01,0.44,31.46,132.65
1362100,2013-10-01,1.95,27.15,107.85
1362100,2013-11-01,3.35,21.12,74.71
1362100,2013-12-01,4.95,16.16,52.32
1362100,2014-01-01,6.18,15.29,42.77
1362100,2014-02-01,2.85,15.37,51.38
1362100,2014-03-01,2.55,19.75,85.53
1362100,2014-04-01,1.13,24.48,107.98
1362100,2014-05-01,0.82,29.79,140.1
1362100,2014-06-01,0.21,31.86,152.26
1362100,2014-07-01,0.09,34.05,161.3
1362100,2014-08-01,0.32,34.12,150.95
1362100,2014-09-01,0.55,31.91,143.26
1362100,2014-10-01,1.42,27.14,108.45
1362100,2014-11-01,3.66,22.11,77.72
1362100,2014-12-01,4.98,16.32,51.58
1362100,2015-01-01,4.33,13.92,43.94
1362100,2015-02-01,3.67,16.08,55.91
1362100,2015-03-01,1.4,19.06,77.52
1362100,2015-04-01,1.36,25.02,104.5
1362100,2015-05-01,0.79,28.67,145.99
1362100,2015-06-01,0.18,33.49,157.44
1362100,2015-07-01,0.12,34.42,164.12
1362100,2015-08-01,0.31,33.11,160.05
1362100,2015-09-01,0.63,32.3,133.1
1362100,2015-10-01,1.94,27.07,112.41
1362100,2015-11-01,3.25,21.13,76.79
1362100,2015-12-01,5.06,16.98,52.44
1362100,2016-01-01,4.95,14.6,49.34
1362100,2016-02-01,3.19,15.9,48.88
1362100,2016-03-01,2.75,19.96,74.91
1362100,2016-04-01,1.32,25.16,96.28
1362100,2016-05-01,0.87,30.25,155.66
1362100,2016-06-01,0.2,33.1,170.69
1362100,2016-07-01,0.1,34.42,159.8
1362100,2016-08-01,0.24,34.34,149.81
1362100,2016-09-01,0.59,31.29,141.86
1362100,2016-10-01,1.7,27.57,109.62
1362100,2016-11-01,4.14,20.74,73.49
1362100,2016-12-01,4.93,16.52,53.99
1362100,2017-01-01,5.66,14.14,46.2
1362100,2017-02-01,2.91,16.07,54.72
1362100,2017-03-01,2.18,19.72,78.13
1362100,2017-04-01,1.37,25.4,103.77
1362100,2017-05-01,0.77,29.03,132.76
1362100,2017-06-01,0.18,32.94,173.7
1362100,2017-07-01,0.09,34.16,148.07
1362100,2017-08-01,0.33,33.12,152.75
1362100,2017-09-01,0.58,30.66,140.67
1362100,2017-10-01,2.02,27.77,103.03
1362100,2017-11-01,2.9,22.21,71.91
1362100,2017-12-01,4.36,16.05,47.57
1362100,2018-01-01,4.86,15.28,47.0
1362100,2018-02-01,2.55,16.45,50.95
1362100,2018-03-01,2.68,19.86,79.45
1362100,2018-04-01,1.17,24.05,105.25
1362100,2018-05-01,0.65,30.01,133.31
1362100,2018-06-01,0.18,33.04,162.56
1362100,2018-07-01,0.1,35.16,178.6
1362100,2018-08-01,0.38,33.82,148.14
1362100,2018-09-01,0.59,31.53,140.27
1362100,2018-10-01,1.97,26.24,116.8
1362100,2018-11-01,3.62,21.52,75.21
1362100,2018-12-01,5.31,16.5,49.23
1362100,2019-01-01,4.62,14.91,45.81
1362100,2019-02-01,3.6,16.47,49.78
1362100,2019-03-01,1.83,19.91,77.89
1362100,2019-04-01,1.18,24.4,110.64
1362100,2019-05-01,0.93,29.26,143.56
1362100,2019-06-01,0.23,33.09,150.51
1362100,2019-07-01,0.12,34.56,162.93
1362100,2019-08-01,0.33,34.78,156.02
1362100,2019-09-01,0.55,32.74,132.18
1362100,2019-10-01,1.65,26.77,107.15
1362100,2019-11-01,3.1,21.52,69.05
1362100,2019-12-01,4.44,16.62,50.39
1362200,2000-01-01,5.88,14.4,46.74
1362200,2000-02-01,2.57,15.61,56.81
1362200,2000-03-01,2.54,19.77,79.06
1362200,2000-04-01,1.28,24.48,123.75
1362200,2000-05-01,0.75,29.08,121.27
1362200,2000-06-01,0.23,32.22,157.52
1362200,2000-07-01,0.09,33.73,162.65
1362200,2000-08-01,0.3,33.37,158.77
1362200,2000-09-01,0.49,31.85,146.17
1362200,2000-10-01,2.04,26.13,114.79
1362200,2000-11-01,3.74,20.52,77.49
1362200,2000-12-01,4.4,14.98,52.75
1362200,2001-01-01,5.11,14.72,43.3
1362200,2001-02-01,2.51,16.45,48.34
1362200,2001-03-01,1.84,18.47,67.1
1362200,2001-04-01,1.01,23.55,104.81
1362200,2001-05-01,0.53,28.58,154.09
1362200,2001-06-01,0.21,32.56,145.2
1362200,2001-07-01,0.1,33.85,151.76
1362200,2001-08-01,0.31,34.03,157.21
1362200,2001-09-01,0.49,30.21,130.21
1362200,2001-10-01,2.09,26.2,102.98
1362200,2001-11-01,2.87,20.8,67.83
1362200,2001-12-01,4.99,15.25,51.94
1362200,2002-01-01,4.38,14.92,44.98
1362200,2002-02-01,2.71,16.32,48.43
1362200,2002-03-01,2.2,19.46,77.53
1362200,2002-04-01,0.84,24.2,105.88
1362200,2002-05-01,0.64,29.79,141.42
1362200,2002-06-01,0.18,32.45,172.71
1362200,2002-07-01,0.11,34.05,153.32
1362200,2002-08-01,0.37,33.99,158.81
1362200,2002-09-01,0.46,31.17,131.59
1362200,2002-10-01,1.67,26.94,98.24
1362200,2002-11-01,3.05,20.92,72.37
1362200,2002-12-01,4.03,15.37,52.72
1362200,2003-01-01,4.24,14.79,43.91
1362200,2003-02-01,3.6,15.68,48.97
1362200,2003-03-01,2.71,19.48,83.65
1362200,2003-04-01,1.36,24.58,102.64
1362200,2003-05-01,0.8,29.29,131.92
1362200,2003-06-01,0.23,32.39,154.66
1362200,2003-07-01,0.09,34.01,159.29
1362200,2003-08-01,0.31,34.87,159.57
1362200,2003-09-01,0.47,30.46,140.35
1362200,2003-10-01,1.5,26.4,108.82
1362200,2003-11-01,2.37,20.97,73.1
1362200,2003-12-01,3.95,15.79,45.42
1362200,2004-01-01,6.43,14.49,44.6
1362200,2004-02-01,3.02,16.49,51.76
1362200,2004-03-01,2.52,20.28,76.65
1362200,2004-04-01,1.0,24.31,112.5
1362200,2004-05-01,0.81,28.97,144.72
1362200,2004-06-01,0.23,32.38,150.32
1362200,2004-07-01,0.08,33.02,162.81
1362200,2004-08-01,0.26,34.45,160.47
1362200,2004-09-01,0.35,32.03,141.13
1362200,2004-10-01,1.99,26.96,109.6
1362200,2004-11-01,3.45,21.04,68.02
1362200,2004-12-01,5.17,16.53,49.47
1362200,2005-01-01,5.63,14.56,49.09
1362200,2005-02-01,2.98,15.8,51.7
1362200,2005-03-01,2.36,18.41,75.49
1362200,2005-04-01,1.25,24.75,100.8
1362200,2005-05-01,0.72,29.07,132.47
1362200,2005-06-01,0.18,32.38,165.07
1362200,2005-07-01,0.12,34.42,168.52
1362200,2005-08-01,0.27,34.03,157.49
1362200,2005-09-01,0.5,32.02,140.59
1362200,2005-10-01,1.87,25.94,110.63
1362200,2005-11-01,2.73,21.46,71.34
1362200,2005-12-01,3.26,15.87,49.43
1362200,2006-01-01,5.58,14.72,44.26
1362200,2006-02-01,3.57,14.4,50.14
1362200,2006-03-01,2.0,18.95,81.74
1362200,2006-04-01,1.35,24.39,111.18
1362200,2006-05-01,0.81,29.07,133.22
1362200,2006-06-01,0.18,32.92,163.14
1362200,2006-07-01,0.1,32.95,167.44
1362200,2006-08-01,0.33,33.25,160.35
1362200,2006-09-01,0.36,30.77,137.73
1362200,2006-10-01,1.72,26.86,101.59
1362200,2006-11-01,3.04,20.74,73.9
1362200,2006-12-01,5.94,16.94,46.08
1362200,2007-01-01,5.16,13.85,44.85
1362200,2007-02-01,3.3,16.05,51.87
1362200,2007-03-01,2.93,19.97,76.94
1362200,2007-04-01,1.2,25.25,108.2
1362200,2007-05-01,0.75,28.42,129.83
1362200,2007-06-01,0.2,31.82,156.8
1362200,2007-07-01,0.09,34.51,154.13
1362200,2007-08-01,0.21,33.4,165.08
1362200,2007-09-01,0.58,30.96,143.29
1362200,2007-10-01,1.5,26.34,111.07
1362200,2007-11-01,3.54,20.51,73.71
1362200,2007-12-01,3.53,16.01,47.16
1362200,2008-01-01,4.57,13.8,46.25
1362200,2008-02-01,3.36,15.69,52.98
1362200,2008-03-01,2.49,19.58,86.42
1362200,2008-04-01,1.05,24.85,102.99
1362200,2008-05-01,0.76,29.42,135.97
1362200,2008-06-01,0.17,32.8,167.34
1362200,2008-07-01,0.11,34.14,158.93
1362200,2008-08-01,0.31,34.18,169.53
1362200,2008-09-01,0.53,31.26,138.58
1362200,2008-10-01,2.01,27.08,98.51
1362200,2008-11-01,3.52,21.4,68.81
1362200,2008-12-01,4.34,15.76,48.3
1362200,2009-01-01,4.09,14.63,43.23
1362200,2009-02-01,3.07,15.82,52.66
1362200,2009-03-01,2.04,19.79,79.52
1362200,2009-04-01,1.35,25.85,94.02
1362200,2009-05-01,0.84,29.02,124.72
1362200,2009-06-01,0.23,33.44,154.91
1362200,2009-07-01,0.1,34.04,168.58
1362200,2009-08-01,0.34,33.84,162.77
1362200,2009-09-01,0.59,31.39,146.46
1362200,2009-10-01,1.58,27.57,111.98
1362200,2009-11-01,3.01,20.01,72.0
1362200,2009-12-01,4.03,16.32,53.63
1362200,2010-01-01,5.32,14.41,45.77
1362200,2010-02-01,3.23,14.92,52.63
1362200,2010-03-01,2.62,19.57,81.82
1362200,2010-04-01,1.18,25.28,116.93
1362200,2010-05-01,0.79,28.43,135.68
1362200,2010-06-01,0.15,33.11,168.34
1362200,2010-07-01,0.11,34.26,159.68
1362200,2010-08-01,0.37,34.08,162.28
1362200,2010-09-01,0.52,31.56,143.17
1362200,2010-10-01,1.63,27.56,108.82
1362200,2010-11-01,3.49,20.88,73.35
1362200,2010-12-01,3.22,15.64,49.92
1362200,2011-01-01,4.17,15.75,41.25
1362200,2011-02-01,3.26,16.96,53.25
1362200,2011-03-01,2.29,19.45,80.63
1362200,2011-04-01,1.06,24.87,108.63
1362200,2011-05-01,0.76,29.47,135.9
1362200,2011-06-01,0.17,33.42,169.01
1362200,2011-07-01,0.1,34.0,163.53
1362200,2011-08-01,0.32,33.28,159.29
1362200,2011-09-01,0.52,31.85,120.53
1362200,2011-10-01,1.91,27.0,113.44
1362200,2011-11-01,2.95,20.87,76.33
1362200,2011-12-01,3.75,17.04,56.39
1362200,2012-01-01,5.57,14.97,41.65
1362200,2012-02-01,2.78,16.69,52.94
1362200,2012-03-01,2.33,19.88,79.98
1362200,2012-04-01,1.15,24.95,104.81
1362200,2012-05-01,0.67,29.62,150.44
1362200,2012-06-01,0.25,32.12,162.51
1362200,2012-07-01,0.11,33.95,157.05
1362200,2012-08-01,0.24,33.54,162.8
1362200,2012-09-01,0.49,31.25,131.26
1362200,2012-10-01,1.89,27.39,102.99
1362200,2012-11-01,3.42,20.22,69.63
1362200,2012-12-01,5.44,15.7,48.49
1362200,2013-01-01,6.31,14.22,43.08
1362200,2013-02-01,3.37,17.17,51.38
1362200,2013-03-01,2.68,20.46,79.27
1362200,2013-04-01,1.15,24.55,97.52
1362200,2013-05-01,0.93,29.58,147.2
1362200,2013-06-01,0.23,32.58,148.62
1362200,2013-07-01,0.11,33.87,168.11
1362200,2013-08-01,0.27,33.36,158.87
1362200,2013-09-01,0.57,31.74,148.25
1362200,2013-10-01,1.47,26.36,107.52
1362200,2013-11-01,4.24,21.53,68.16
1362200,2013-12-01,4.84,16.4,48.58
1362200,2014-01-01,5.68,14.54,44.33
1362200,2014-02-01,3.69,15.37,49.5
1362200,2014-03-01,2.11,19.4,75.16
1362200,2014-04-01,1.29,25.57,109.81
1362200,2014-05-01,0.68,29.47,141.12
1362200,2014-06-01,0.21,33.57,152.66
1362200,2014-07-01,0.1,34.02,167.07
1362200,2014-08-01,0.25,33.36,154.16
1362200,2014-09-01,0.46,32.39,148.23
1362200,2014-10-01,1.74,27.01,99.39
1362200,2014-11-01,3.11,21.3,76.12
1362200,2014-12-01,5.14,16.54,50.74
1362200,2015-01-01,5.41,13.95,44.06
1362200,2015-02-01,3.77,16.66,53.29
1362200,2015-03-01,2.42,20.18,74.31
1362200,2015-04-01,0.92,24.86,107.82
1362200,2015-05-01,0.81,30.06,140.43
1362200,2015-06-01,0.2,33.61,166.95
1362200,2015-07-01,0.1,33.7,157.51
1362200,2015-08-01,0.29,33.67,173.26
1362200,2015-09-01,0.37,31.62,132.54
1362200,2015-10-01,1.83,27.14,105.81
1362200,2015-11-01,3.45,21.15,71.35
1362200,2015-12-01,4.59,16.68,50.35
1362200,2016-01-01,6.43,15.32,46.25
1362200,2016-02-01,2.1,15.54,54.56
1362200,2016-03-01,2.23,20.0,75.54
1362200,2016-04-01,1.29,25.56,98.65
1362200,2016-05-01,0.7,28.75,139.61
1362200,2016-06-01,0.15,32.8,162.1
1362200,2016-07-01,0.13,34.46,175.34
1362200,2016-08-01,0.31,34.03,158.31
1362200,2016-09-01,0.47,32.27,142.62
1362200,2016-10-01,1.89,26.68,106.14
1362200,2016-11-01,4.19,21.25,76.77
1362200,2016-12-01,4.52,16.78,50.72
1362200,2017-01-01,4.89,15.03,41.53
1362200,2017-02-01,3.37,16.7,52.71
1362200,2017-03-01,2.87,19.88,77.42
1362200,2017-04-01,1.26,25.54,107.99
1362200,2017-05-01,0.77,29.11,142.58
1362200,2017-06-01,0.18,32.6,152.83
1362200,2017-07-01,0.1,33.91,155.63
1362200,2017-08-01,0.27,33.82,163.63
1362200,2017-09-01,0.51,31.17,141.6
1362200,2017-10-01,1.89,26.78,103.7
1362200,2017-11-01,2.82,21.04,79.97
1362200,2017-12-01,4.25,16.54,48.21
1362200,2018-01-01,4.81,14.39,46.8
1362200,2018-02-01,3.28,16.28,53.31
1362200,2018-03-01,2.67,19.51,80.13
1362200,2018-04-01,1.07,25.56,108.89
1362200,2018-05-01,0.85,29.54,134.37
1362200,2018-06-01,0.19,33.42,152.61
1362200,2018-07-01,0.1,33.47,167.15
1362200,2018-08-01,0.25,33.28,164.15
1362200,2018-09-01,0.52,31.52,137.89
1362200,2018-10-01,2.41,26.94,106.91
1362200,2018-11-01,3.51,21.38,75.55
1362200,2018-12-01,5.1,16.82,51.11
1362200,2019-01-01,5.7,14.75,45.5
1362200,2019-02-01,2.97,16.67,48.5
1362200,2019-03-01,2.66,20.47,80.89
1362200,2019-04-01,1.18,25.42,100.92
1362200,2019-05-01,0.9,29.12,142.1
1362200,2019-06-01,0.22,33.27,154.47
1362200,2019-07-01,0.11,33.45,171.41
1362200,2019-08-01,0.31,34.5,161.6
1362200,2019-09-01,0.64,31.3,144.27
1362200,2019-10-01,1.56,27.01,112.01
1362200,2019-11-01,3.5,22.41,70.73
1362200,2019-12-01,5.85,16.34,48.25
1362300,2000-01-01,3.93,14.28,43.83
1362300,2000-02-01,3.49,15.54,50.76
1362300,2000-03-01,2.53,20.26,73.75
1362300,2000-04-01,1.38,25.04,103.84
1362300,2000-05-01,0.88,28.96,154.36
1362300,2000-06-01,0.2,32.54,155.43
1362300,2000-07-01,0.07,33.67,166.91
1362300,2000-08-01,0.37,33.65,158.48
1362300,2000-09-01,0.5,31.36,137.35
1362300,2000-10-01,1.98,27.31,106.04
1362300,2000-11-01,3.78,21.24,73.93
1362300,2000-12-01,4.98,16.07,49.46
1362300,2001-01-01,6.63,13.87,47.55
1362300,2001-02-01,3.82,15.67,55.03
1362300,2001-03-01,2.45,19.46,77.71
1362300,2001-04-01,0.91,24.9,112.58
1362300,2001-05-01,0.72,29.55,137.41
1362300,2001-06-01,0.17,33.03,171.32
1362300,2001-07-01,0.09,33.94,153.12
1362300,2001-08-01,0.3,33.67,174.02
1362300,2001-09-01,0.62,32.05,136.31
1362300,2001-10-01,1.73,25.7,104.14
1362300,2001-11-01,2.5,21.01,69.49
1362300,2001-12-01,4.09,15.75,47.04
1362300,2002-01-01,5.44,14.4,44.29
1362300,2002-02-01,2.76,15.19,53.44
1362300,2002-03-01,2.48,19.69,76.8
1362300,2002-04-01,1.16,25.38,101.85
1362300,2002-05-01,0.76,29.53,140.09
1362300,2002-06-01,0.14,31.72,152.78
1362300,2002-07-01,0.11,34.2,169.29
1362300,2002-08-01,0.33,32.98,164.81
1362300,2002-09-01,0.43,31.73,136.43
1362300,2002-10-01,1.88,25.62,100.72
1362300,2002-11-01,3.72,21.21,67.62
1362300,2002-12-01,5.84,15.41,50.05
1362300,2003-01-01,4.83,13.83,47.63
1362300,2003-02-01,3.88,15.98,55.97
1362300,2003-03-01,2.3,19.54,78.51
1362300,2003-04-01,0.99,24.94,108.73
1362300,2003-05-01,0.78,28.34,140.54
1362300,2003-06-01,0.15,32.18,159.04
1362300,2003-07-01,0.09,34.02,163.13
1362300,2003-08-01,0.23,33.57,164.69
1362300,2003-09-01,0.58,31.11,139.57
1362300,2003-10-01,1.4,27.57,116.13
1362300,2003-11-01,3.18,20.83,61.45
1362300,2003-12-01,5.66,16.27,52.03
1362300,2004-01-01,4.88,14.09,42.22
1362300,2004-02-01,3.46,16.55,54.92
1362300,2004-03-01,2.47,19.36,73.9
1362300,2004-04-01,1.07,24.95,103.51
1362300,2004-05-01,1.0,29.8,133.85
1362300,2004-06-01,0.16,32.35,166.42
1362300,2004-07-01,0.09,34.19,160.33
1362300,2004-08-01,0.32,33.78,167.89
1362300,2004-09-01,0.61,31.98,136.29
1362300,2004-10-01,1.76,26.03,106.73
1362300,2004-11-01,3.21,20.72,70.19
1362300,2004-12-01,5.66,16.47,51.0
1362300,2005-01-01,4.2,14.45,44.14
1362300,2005-02-01,3.71,15.05,50.55
1362300,2005-03-01,2.19,19.32,81.73
1362300,2005-04-01,0.78,24.65,109.47
1362300,2005-05-01,0.92,28.98,133.31
1362300,2005-06-01,0.21,32.73,158.55
1362300,2005-07-01,0.04,33.39,157.88
1362300,2005-08-01,0.33,32.83,151.63
1362300,2005-09-01,0.49,30.71,144.5
1362300,2005-10-01,1.69,27.57,104.6
1362300,2005-11-01,2.92,21.35,69.64
1362300,2005-12-01,6.01,16.29,49.24
1362300,2006-01-01,5.07,15.81,46.1
1362300,2006-02-01,3.17,15.91,54.7
1362300,2006-03-01,1.85,19.49,66.95
1362300,2006-04-01,1.1,25.2,112.26
1362300,2006-05-01,0.87,29.6,126.16
1362300,2006-06-01,0.18,33.42,153.86
1362300,2006-07-01,0.1,33.58,157.3
1362300,2006-08-01,0.28,33.25,167.66
1362300,2006-09-01,0.52,31.89,130.29
1362300,2006-10-01,2.13,26.69,117.93
1362300,2006-11-01,3.17,20.23,76.62
1362300,2006-12-01,4.8,15.0,50.36
1362300,2007-01-01,5.38,14.95,36.93
1362300,2007-02-01,3.63,15.77,57.01
1362300,2007-03-01,1.78,19.88,79.61
1362300,2007-04-01,1.12,24.42,103.04
1362300,2007-05-01,0.76,28.68,144.85
1362300,2007-06-01,0.17,33.22,143.87
1362300,2007-07-01,0.1,33.93,164.87
1362300,2007-08-01,0.34,33.51,156.34
1362300,2007-09-01,0.49,31.9,131.56
1362300,2007-10-01,1.52,25.73,118.95
1362300,2007-11-01,2.64,20.07,69.09
1362300,2007-12-01,4.45,16.84,48.84
1362300,2008-01-01,5.43,13.54,45.47
1362300,2008-02-01,2.33,15.88,50.02
1362300,2008-03-01,2.42,19.96,72.79
1362300,2008-04-01,1.0,24.94,108.61
1362300,2008-05-01,0.97,29.1,127.71
1362300,2008-06-01,0.21,32.34,150.7
1362300,2008-07-01,0.12,34.35,158.99
1362300,2008-08-01,0.3,33.6,161.32
1362300,2008-09-01,0.47,30.49,133.17
1362300,2008-10-01,1.66,26.75,102.16
1362300,2008-11-01,3.29,20.85,69.27
1362300,2008-12-01,3.97,16.36,51.06
1362300,2009-01-01,5.82,14.74,46.4
1362300,2009-02-01,3.28,15.19,51.27
1362300,2009-03-01,1.88,20.35,77.95
1362300,2009-04-01,1.43,24.35,104.52
1362300,2009-05-01,0.83,29.2,139.3
1362300,2009-06-01,0.24,32.25,137.16
1362300,2009-07-01,0.12,33.67,174.26
1362300,2009-08-01,0.33,33.56,163.04
1362300,2009-09-01,0.41,31.51,144.16
1362300,2009-10-01,1.59,26.58,109.69
1362300,2009-11-01,3.84,21.07,70.45
1362300,2009-12-01,4.79,16.75,48.4
1362300,2010-01-01,4.97,14.18,44.54
1362300,2010-02-01,3.2,16.62,46.48
1362300,2010-03-01,2.6,19.25,80.31
1362300,2010-04-01,1.42,25.4,105.83
1362300,2010-05-01,0.9,28.93,137.53
1362300,2010-06-01,0.25,32.41,159.56
